expediente;fecha_remision
00167-2018-0-3301-JR-FT-01;2019-01-09
00539-2017-0-3301-JR-FT-01;2019-01-09
00338-2018-0-3301-JR-FT-01;2019-01-09
00185-2016-0-3301-JR-FT-01;2019-01-09
00236-2018-0-3301-JR-FT-01;2019-01-09
00045-2017-0-3301-JR-FT-01;2019-01-09
00196-2017-0-3301-JR-FT-01;2019-01-09
00461-2017-0-3301-JR-FT-01;2019-01-09
00499-2017-0-3301-JR-FT-01;2019-01-09
00464-2017-0-3301-JR-FT-01;2019-01-09
00059-2018-0-3301-JR-FT-01;2019-01-09
00041-2017-0-3301-JR-FT-01;2019-01-09
00138-2016-0-3301-JR-FT-01;2019-01-09
00130-2017-0-3301-JR-FT-01;2019-01-09
00130-2016-0-3301-JR-FT-01;2019-01-09
00622-2018-0-3301-JR-FT-01;2019-01-09
00430-2017-0-3301-JR-FT-01;2019-01-09
00567-2018-0-3301-JR-FT-01;2019-01-09
00421-2018-0-3301-JR-FT-01;2019-01-09
00463-2017-0-3301-JR-FT-01;2019-01-09
00133-2017-0-3301-JR-FT-01;2019-01-09
00421-2017-0-3301-JR-FT-01;2019-01-09
00193-2017-0-3301-JR-FT-01;2019-01-09
00309-2017-0-3301-JR-FT-01;2019-01-09
00742-2018-0-3301-JR-FT-01;2019-01-09
00746-2018-0-3301-JR-FT-01;2019-01-09
00738-2018-0-3301-JR-FT-01;2019-01-09
00820-2018-0-3301-JR-FT-01;2019-01-09
00187-2017-0-3301-JR-FT-01;2019-01-09
00064-2017-0-3301-JR-FT-01;2019-01-09
00232-2018-0-3301-JR-FT-01;2019-01-09
00633-2017-0-3301-JR-FT-01;2019-01-09
00848-2018-0-3301-JR-FT-01;2019-01-09
00849-2018-0-3301-JR-FT-01;2019-01-09
00055-2017-0-3301-JR-FT-01;2019-01-09
00877-2018-0-3301-JR-FT-01;2019-01-09
00056-2017-0-3301-JR-FT-01;2019-01-09
00149-2017-0-3301-JR-FT-01;2019-01-09
00140-2016-0-3301-JR-FT-01;2019-01-09
00702-2018-0-3301-JR-FT-01;2019-01-09
00405-2018-0-3301-JR-FT-01;2019-01-09
00084-2017-0-3301-JR-FT-01;2019-01-09
00103-2017-0-3301-JR-FT-01;2019-01-09
00101-2017-0-3301-JR-FT-01;2019-01-09
00513-2017-0-3301-JR-FT-01;2019-01-09
00179-2017-0-3301-JR-FT-01;2019-01-09
00626-2018-0-3301-JR-FT-01;2019-01-09
00630-2018-0-3301-JR-FT-01;2019-01-09
00083-2018-0-3301-JR-FT-01;2019-01-09
00704-2017-0-3301-JR-FT-01;2019-01-09
00096-2017-0-3301-JR-FT-01;2019-01-09
00105-2017-0-3301-JR-FT-01;2019-01-09
00696-2017-0-3301-JR-FT-01;2019-01-09
00745-2017-0-3301-JR-FT-01;2019-01-09
00987-2018-0-3301-JR-FT-01;2019-01-09
01029-2018-0-3301-JR-FT-01;2019-01-09
01034-2018-0-3301-JR-FT-01;2019-01-09
00989-2018-0-3301-JR-FT-01;2019-01-09
00988-2018-0-3301-JR-FT-01;2019-01-09
00833-2018-0-3301-JR-FC-01;2019-01-09
00619-2018-0-3301-JR-FC-01;2019-01-09
00237-2017-0-3301-JR-FC-01;2019-01-09
00156-2018-0-3301-JR-CI-01;2019-01-08
00994-2018-0-3301-JR-FT-01;2019-01-08
00324-2017-0-3301-JR-FT-01;2019-01-04
00150-2018-0-3301-JR-CI-01;2019-01-04
01046-2018-0-3301-JR-FT-01;2019-01-03
01038-2018-0-3301-JR-FT-01;2019-01-03
01069-2018-0-3301-JR-FT-01;2019-01-03
01048-2018-0-3301-JR-FT-01;2019-01-03
00033-2019-0-3301-JR-FT-01;2019-01-28
00013-2019-0-3301-JR-FT-01;2019-01-28
00021-2019-0-3301-JR-FT-01;2019-01-28
00030-2019-0-3301-JR-FT-01;2019-01-28
00019-2019-0-3301-JR-FT-01;2019-01-28
00051-2019-0-3301-JR-FT-01;2019-01-28
00052-2019-0-3301-JR-FT-01;2019-01-28
00027-2019-0-3301-JR-FT-01;2019-01-28
00011-2019-0-3301-JR-FT-01;2019-01-28
00637-2018-0-3301-JR-FT-01;2019-01-28
00026-2019-0-3301-JR-FT-01;2019-01-28
00034-2019-0-3301-JR-FT-01;2019-01-28
00024-2019-0-3301-JR-FT-01;2019-01-28
00639-2018-0-3301-JR-FT-01;2019-01-07
00635-2018-0-3301-JR-FT-01;2019-01-07
00633-2018-0-3301-JR-FT-01;2019-01-07
00629-2018-0-3301-JR-FT-01;2019-01-07
00626-2018-0-3301-JR-FT-01;2019-01-07
00625-2018-0-3301-JR-FT-01;2019-01-07
00624-2018-0-3301-JR-FT-01;2019-01-07
00612-2018-0-3301-JR-FT-01;2019-01-07
00606-2018-0-3301-JR-FT-01;2019-01-07
00605-2018-0-3301-JR-FT-01;2019-01-07
00602-2018-0-3301-JR-FT-01;2019-01-07
00600-2018-0-3301-JR-FT-01;2019-01-07
00548-2018-0-3301-JR-FT-01;2019-01-07
00928-2018-0-3301-JR-FT-01;2019-02-06
00923-2018-0-3301-JR-FT-01;2019-02-06
00896-2018-0-3301-JR-FT-01;2019-02-06
00830-2018-0-3301-JR-FT-01;2019-02-05
00809-2018-0-3301-JR-FT-01;2019-02-05
00750-2018-0-3301-JR-FT-01;2019-02-05
00679-2018-0-3301-JR-FT-01;2019-02-05
00930-2018-0-3301-JR-FT-01;2019-01-31
00890-2018-0-3301-JR-FT-01;2019-01-31
00865-2018-0-3301-JR-FT-01;2019-01-31
00837-2018-0-3301-JR-FT-01;2019-01-31
00804-2018-0-3301-JR-FT-01;2019-01-31
00176-2017-0-3301-JR-CI-01;2019-01-31
00233-2018-0-3301-JR-FT-01;2019-01-31
00246-2018-0-3301-JR-FP-01;2019-01-24
00919-2018-0-3301-JR-FP-01;2019-01-23
00789-2018-0-3301-JR-FC-01;2019-01-21
00760-2018-0-3301-JR-FP-01;2019-01-16
00169-2018-0-3301-JR-CI-01;2019-01-16
00159-2018-0-3301-JR-CI-01;2019-01-15
00141-2018-0-3301-JR-CI-01;2019-01-08
00593-2018-0-3301-JR-FC-01;2019-01-03
02027-2018-0-3301-JR-FT-01;2019-02-06
02300-2018-0-3301-JR-FT-01;2019-02-06
02370-2018-0-3301-JR-FT-01;2019-02-06
02369-2018-0-3301-JR-FT-01;2019-02-06
02368-2018-0-3301-JR-FT-01;2019-02-06
02346-2018-0-3301-JR-FT-01;2019-02-06
02351-2018-0-3301-JR-FT-01;2019-02-06
02352-2018-0-3301-JR-FT-01;2019-02-06
02353-2018-0-3301-JR-FT-01;2019-02-06
02354-2018-0-3301-JR-FT-01;2019-02-06
02356-2018-0-3301-JR-FT-01;2019-02-06
02357-2018-0-3301-JR-FT-01;2019-02-06
02358-2018-0-3301-JR-FT-01;2019-02-06
02359-2018-0-3301-JR-FT-01;2019-02-06
02360-2018-0-3301-JR-FT-01;2019-02-06
02361-2018-0-3301-JR-FT-01;2019-02-06
02388-2018-0-3301-JR-FT-01;2019-02-06
02398-2018-0-3301-JR-FT-01;2019-02-06
02390-2018-0-3301-JR-FT-01;2019-02-06
02399-2018-0-3301-JR-FT-01;2019-02-06
02383-2018-0-3301-JR-FT-01;2019-02-06
02392-2018-0-3301-JR-FT-01;2019-02-06
02335-2018-0-3301-JR-FT-01;2019-02-06
02364-2018-0-3301-JR-FT-01;2019-02-06
02337-2018-0-3301-JR-FT-01;2019-02-06
02307-2018-0-3301-JR-FT-01;2019-02-06
02340-2018-0-3301-JR-FT-01;2019-02-06
02396-2018-0-3301-JR-FT-01;2019-02-06
02395-2018-0-3301-JR-FT-01;2019-02-06
02367-2018-0-3301-JR-FT-01;2019-02-06
02366-2018-0-3301-JR-FT-01;2019-02-06
02363-2018-0-3301-JR-FT-01;2019-02-06
02394-2018-0-3301-JR-FT-01;2019-02-06
02305-2018-0-3301-JR-FT-01;2019-02-06
02304-2018-0-3301-JR-FT-01;2019-02-06
02371-2018-0-3301-JR-FT-01;2019-02-06
01828-2018-0-3301-JR-FT-01;2019-02-05
01801-2018-0-3301-JR-FT-01;2019-02-05
01807-2018-0-3301-JR-FT-01;2019-02-05
01825-2018-0-3301-JR-FT-01;2019-02-05
01830-2018-0-3301-JR-FT-01;2019-02-05
01831-2018-0-3301-JR-FT-01;2019-02-05
01824-2018-0-3301-JR-FT-01;2019-02-05
01874-2018-0-3301-JR-FT-01;2019-02-05
01838-2018-0-3301-JR-FT-01;2019-02-05
01839-2018-0-3301-JR-FT-01;2019-02-05
01842-2018-0-3301-JR-FT-01;2019-02-05
01845-2018-0-3301-JR-FT-01;2019-02-05
01832-2018-0-3301-JR-FT-01;2019-02-05
01834-2018-0-3301-JR-FT-01;2019-02-05
01837-2018-0-3301-JR-FT-01;2019-02-05
01826-2018-0-3301-JR-FT-01;2019-02-05
01850-2018-0-3301-JR-FT-01;2019-02-05
01871-2018-0-3301-JR-FT-01;2019-02-05
01899-2018-0-3301-JR-FT-01;2019-02-05
01840-2018-0-3301-JR-FT-01;2019-02-05
01841-2018-0-3301-JR-FT-01;2019-02-05
01843-2018-0-3301-JR-FT-01;2019-02-05
01844-2018-0-3301-JR-FT-01;2019-02-05
01835-2018-0-3301-JR-FT-01;2019-02-05
01836-2018-0-3301-JR-FT-01;2019-02-05
01827-2018-0-3301-JR-FT-01;2019-02-05
01829-2018-0-3301-JR-FT-01;2019-02-05
02162-2018-0-3301-JR-FT-01;2019-02-05
02164-2018-0-3301-JR-FT-01;2019-02-05
02165-2018-0-3301-JR-FT-01;2019-02-05
02166-2018-0-3301-JR-FT-01;2019-02-05
02167-2018-0-3301-JR-FT-01;2019-02-05
02168-2018-0-3301-JR-FT-01;2019-02-05
02169-2018-0-3301-JR-FT-01;2019-02-05
02171-2018-0-3301-JR-FT-01;2019-02-05
02196-2018-0-3301-JR-FT-01;2019-02-05
02156-2018-0-3301-JR-FT-01;2019-02-05
02158-2018-0-3301-JR-FT-01;2019-02-05
02157-2018-0-3301-JR-FT-01;2019-02-05
02159-2018-0-3301-JR-FT-01;2019-02-05
02160-2018-0-3301-JR-FT-01;2019-02-05
02149-2018-0-3301-JR-FT-01;2019-02-05
02150-2018-0-3301-JR-FT-01;2019-02-05
02152-2018-0-3301-JR-FT-01;2019-02-05
02153-2018-0-3301-JR-FT-01;2019-02-05
02154-2018-0-3301-JR-FT-01;2019-02-05
02155-2018-0-3301-JR-FT-01;2019-02-05
02134-2018-0-3301-JR-FT-01;2019-02-05
02137-2018-0-3301-JR-FT-01;2019-02-05
02140-2018-0-3301-JR-FT-01;2019-02-05
