tblcomisaria_id;oficio;fdenuncia;fformalizacion;expediente;calificacion;hora;faudiencia;remitido;oficioremitido;fremision;ministerio;tblinstancia_id;asistencialegal;psicologia;tblmodulo_id;medida_file;institucion;tbldenuncia_id;fmedida
8;242-2019;2019-01-30;2019-02-04;642-2019;Ha lugar;11:00;2019-02-15;;;;;37;0;0;30;/img/denuncia/file_medida__1554570139.pdf;1;1;2019-02-14
13;009-2019;2019-01-04;2019-01-07;100-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554574997.pdf;1;3;2019-01-08
6;007-2019;2019-01-03;2019-01-07;97-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;3;
10;027-2019;2019-01-04;2019-01-07;98-2019;Ha lugar;12:30;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554642681.pdf;1;2;2019-01-09
10;029-2019;2019-01-04;2019-01-07;99-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
10;030-2019;2019-01-04;2019-04-07;101-2019;Ha lugar;11:50;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554645412.pdf;1;1;2019-01-09
10;028-2019;2019-01-04;2019-01-07;102-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554645679.pdf;1;1;2019-01-08
10;042-2019;2019-01-05;2019-01-07;;;;;;;;0;;0;0;30;;1;1;
10;042-2019;2019-01-05;2019-01-07;103-2019;Ha lugar;11:30;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554646246.pdf;1;1;2019-01-09
10;040-2019;2019-01-05;2019-01-07;105-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554646528.pdf;1;3;2019-01-08
10;041-2019;2019-01-05;2019-01-07;106-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554647193.pdf;1;3;2019-01-08
10;024-2018;2019-01-03;2019-01-07;107-2019;Ha lugar;11:10;2019-01-09;;;;;26;0;0;30;/img/denuncia/file_medida__1554647686.pdf;1;1;2019-01-09
10;039-2019;2019-01-05;2019-01-07;108-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
154;007-2019;2019-01-03;2019-01-07;109-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554648393.pdf;1;3;2019-01-08
6;010-2019;2019-01-03;2019-01-07;110-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554649101.pdf;1;3;2019-01-08
3;033-2019;2019-01-01;2019-01-07;111-2019;Ha lugar;10:50;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554649561.pdf;1;2;2019-01-09
6;011-2019;2019-01-03;2019-01-07;112-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554681262.pdf;1;3;2019-01-08
6;015-2019;2019-01-04;2019-01-07;113-20190;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
6;014-2019;2019-01-02;2019-01-07;114-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
6;013-2019;2019-01-02;2019-01-07;115-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554683911.pdf;1;1;2019-01-08
6;012-2019;2018-12-31;2019-01-07;116-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
6;008-2019;2019-01-03;2019-02-07;117-2019;Ha lugar;10:30;2019-01-09;;;;;37;0;0;30;/img/denuncia/file_medida__1554684414.pdf;1;1;2019-01-09
154;120-2019;2019-01-05;2019-03-11;129-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
13;Set-19;2019-01-04;2019-01-08;132-2019;Ha lugar;10:40;2019-01-10;;;;;37;0;0;30;/img/denuncia/file_medida__1554685811.pdf;1;1;2019-01-10
10;190-2019;2019-02-02;2019-02-05;660-2019;Ha lugar;00:00;;;;;;37;1;1;30;/img/denuncia/file_medida__1554727020.pdf;1;3;2019-02-06
10;188-2019;2019-02-02;2019-02-05;661-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
10;189-2019;2019-02-02;2019-02-05;663-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554728992.pdf;1;3;2019-02-06
10;186-2019;2019-02-04;2019-02-05;664-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554729745.pdf;1;3;2019-02-06
10;197-2019;2019-02-04;2019-02-05;665-2019;Ha lugar;10:45;2019-02-07;;;;;37;0;0;30;/img/denuncia/file_medida__1554730435.pdf;1;1;2019-02-07
9;169-2019;2019-02-04;2019-02-05;666-2019;Ha lugar;10:15;2019-02-07;;;;;37;0;0;30;/img/denuncia/file_medida__1554731053.pdf;1;1;2019-02-07
9;168-2019;2019-02-04;2019-02-05;667-2019;Ha lugar;11:00;2019-02-07;;;;;37;0;0;30;/img/denuncia/file_medida__1554731689.pdf;1;2;2019-02-07
9;149-2019;2019-02-03;2019-02-05;668-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554732319.pdf;1;1;2019-02-06
6;067-2019;2019-01-26;2019-02-05;669-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;2;
6;072-1029;2019-02-04;2019-02-07;680-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
15;28-2019;2019-02-05;2019-02-06;681-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida_681-2019_1554733958.pdf;1;2;2019-03-04
8;247-2019;2019-02-02;2019-02-04;643-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
12;154-2019;2019-02-02;2019-02-05;652-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;2;
7;173-2019;2019-02-04;2019-02-05;654-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
7;174-2019;2019-02-05;2019-02-05;655-2019;Ha lugar;10:30;2019-02-07;;;;;37;0;0;30;/img/denuncia/file_medida__1554768985.pdf;1;1;2019-02-07
13;040-2019;2019-01-31;2019-02-05;656-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;2;
10;195-2919;2019-02-03;2019-02-05;657-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554770612.pdf;1;2;2019-02-06
10;191-2019;2019-02-03;2019-02-05;658-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
10;192-2019;2019-02-03;2019-02-05;659-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
8;280-2019;2019-02-05;2019-02-06;;;;;;;;0;;0;0;30;;1;1;
6;068-2019;2019-01-28;2019-02-06;683-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554814270.pdf;1;2;2019-02-07
6;071-2019;2019-02-02;2019-02-06;684-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554814880.pdf;1;1;2019-02-07
8;281-2019;2019-01-31;2019-02-06;685-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
;;;;135-2019;Ha lugar;09:50;2019-01-10;;;;;37;0;0;30;/img/denuncia/file_medida__1554855571.pdf;1;;2019-01-10
9;34-2019;2019-01-07;2019-01-08;136-2019;Ha lugar;00:00;;;;;1;37;0;0;30;/img/denuncia/file_medida__1554855978.pdf;1;1;2019-01-11
9;33-2019;2019-01-07;2019-01-08;137-2019;Ha lugar;11:00;2019-01-10;;;;;37;0;0;30;/img/denuncia/file_medida__1554856465.pdf;1;1;2019-01-10
7;037-2019;2019-01-07;2019-01-08;138-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554856728.pdf;1;3;2019-01-09
154;005-2019;2019-01-06;2019-01-08;140-2019;Ha lugar;10:10;2019-01-10;;;;;37;0;0;30;/img/denuncia/file_medida__1554857062.pdf;1;1;2019-01-10
6;016-2019;2019-01-04;2019-01-08;141-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida_141-2019_1554857520.pdf;1;3;2019-01-09
6;017-2019;2019-01-04;2019-01-08;142-2019;Ha lugar;10:20;2019-01-10;;;;;37;0;0;30;/img/denuncia/file_medida__1554858032.pdf;1;1;2019-01-10
154;012-2019;2019-01-07;2019-01-09;154-2019;Ha lugar;09:10;2019-01-11;;;;;37;0;0;30;/img/denuncia/file_medida__1554858391.pdf;1;2;2019-01-11
154;019-2019;2019-01-07;2019-01-09;155-2019;Ha lugar;10:15;2019-01-07;;;;;37;0;0;30;/img/denuncia/file_medida__1554904493.pdf;1;2;2019-01-07
154;016-2019;2019-01-07;2019-01-09;156-2019;Ha lugar;12:15;2019-01-11;;;;;37;0;0;30;/img/denuncia/file_medida__1554904823.pdf;1;3;2019-01-11
154;013-2019;2019-01-07;2019-01-09;157-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554905062.pdf;1;3;2019-01-10
154;015-2019;2019-01-07;2019-01-09;158-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554905264.pdf;1;3;2019-01-10
154;016-2019;2019-01-07;2019-01-09;159-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554905559.pdf;1;3;2019-01-10
6;018-2019;2019-01-07;2019-01-09;160-2019;No ha lugar;00:00;;;;;;37;0;0;30;;1;1;
9;039-2019;2019-01-08;2019-01-09;161-2019;Ha lugar;10:10;2019-01-11;;;;;37;0;0;30;/img/denuncia/file_medida__1554915253.pdf;1;1;2019-01-11
3;114-2019;2019-03-06;2019-03-08;1167-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554924105.pdf;1;1;2019-03-11
8;006-2019;2019-01-01;2019-01-03;001-2019;;00:00;;;;;;26;0;0;30;/img/denuncia/file_medida_01-2019_1555005088.pdf;1;3;2019-01-04
6;002-2019;2018-12-31;2019-01-03;002-2019;Ha lugar;09:45;2019-01-09;;;;;26;0;0;30;/img/denuncia/file_medida__1555006988.pdf;1;1;
6;005-2019;2018-12-29;2019-01-03;003-2019;Ha lugar;11:40;;;;;;26;0;0;30;/img/denuncia/file_medida__1555009517.pdf;1;1;
6;006-2019;2018-12-30;2019-01-03;004-2019;No ha lugar;00:00;;;;;;26;0;0;30;;1;1;
6;003-2019;2018-12-31;2019-01-03;006-2019;Ha lugar;08:30;;;;;;26;0;0;30;/img/denuncia/file_medida__1555012089.pdf;1;2;
6;001-2019;2018-12-29;2019-01-03;009-2019;Ha lugar;10:30;;;;;;26;0;0;30;/img/denuncia/file_medida__1555013028.pdf;1;2;
154;408-2018;2018-12-30;2019-01-03;14-2019;Ha lugar;10:30;2019-01-09;;;;;26;0;0;30;/img/denuncia/file_medida__1555088168.pdf;1;1;2019-01-09
6;004-2019;2018-12-29;2019-01-03;012-2019;Ha lugar;00:00;;;;;;26;0;0;30;/img/denuncia/file_medida_12-2019_1555089276.pdf;1;1;
154;002-2018;2018-12-30;2019-01-03;18-2019;Ha lugar;00:00;;;;;;26;0;0;30;/img/denuncia/file_medida__1555093656.pdf;1;3;2019-01-04
6;Jul-19;2018-12-30;2019-01-03;31-2019;Ha lugar;10:00;;;;;;26;0;0;30;/img/denuncia/file_medida__1555098343.pdf;1;1;
