id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
3; 93-2019;2019-01-07;2019-01-10;170-2019;Ha lugar;14:30;2019-01-11;;;;0;28;0;0;30;file_xrb2sj7w1547560894.pdf
3; 92-2019;2019-01-07;2019-01-10;179-2019;Ha lugar;00:00;2019-01-11;;;;0;28;0;0;30;file_ows1upbw1547561955.pdf
1; 2-2019;2018-12-30;2019-01-03;18-2019;;00:00;;;;;0;26;0;0;30;
8; 55-2019;2019-01-08;2019-01-10;181-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_6kq6y98v1547565878.pdf
8; 53-2019;2019-01-06;2019-01-10;182-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_a1qpki2x1547565817.pdf
9; 50-2019;2019-01-09;2019-01-10;183-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_ngnd035i1547565529.pdf
9; 49-2019;2019-01-09;2019-01-10;184-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_kfgaqb4i1547565361.pdf
7;  44-2019;2019-01-09;2019-01-10;185-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_dj3dbkyq1547565067.pdf
1; 19-2019;2019-01-08;2019-01-10;186-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_ejwbt1gz1547564577.pdf
3; 85-2019;2019-01-08;2019-01-11;188-2019;Ha lugar;10:30;2019-01-14;;;;0;28;0;1;30;file_u10r60341547564663.pdf
3; 102-2019;2019-01-09;2019-01-11;189-2019;Ha lugar;15:30;2019-01-11;;;;0;28;0;0;30;file_eeaz304e1547565154.pdf
3; 99-2019;2019-01-07;2019-01-11;190-2019;Ha lugar;09:00;2019-01-14;;;;0;28;0;0;30;file_r6gmtu1l1547565667.pdf
3; 98-2019;2019-01-09;2019-01-11;191-2019;Ha lugar;16:00;2019-01-11;;;;0;28;0;1;30;file_ho2d92d61547566009.pdf
3; 96-2019;2019-01-10;2019-01-11;194-2019;Ha lugar;15:00;2019-01-11;;;;0;28;0;0;30;file_btxhmwbn1547566813.pdf
3; 103-2019;2019-01-09;2019-01-11;196-2019;Ha lugar;16:30;2019-01-11;;;;0;28;0;0;30;file_2hh5ao301547568394.pdf
6; 2-2018;2018-12-28;2019-01-03;0002-2019;;00:00;;;;;0;26;0;0;30;file_38s4bxpc1546623234.pdf
3; 4054-2018;2018-12-30;2019-01-03;20-2019;Ha lugar;16:00;2019-01-03;Ministerio Público;19-2019;2019-01-09;0;28;0;0;30;file_ezcyjomj1546639869.pdf
3; 9-2019;2019-01-01;2019-01-03;21-2019;Ha lugar;10:50;2019-01-04;Ministerio Público;32-2019;2019-01-10;0;28;0;0;30;file_3wnitklv1546640082.pdf
8; 69-2019;2019-01-10;2019-01-11;210-2019;;00:00;;;;;0;37;0;0;30;
6; 21-2019;2019-01-06;2019-01-11;211-2019;;00:00;;;;;0;37;0;0;30;
6; 69-2019;2019-01-08;2019-01-11;212-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_rvwzcw491547566881.pdf
6; 67-2019;2019-01-08;2019-01-11;213-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_s4ecamqa1547565934.pdf
6; 19-2019;2019-01-06;2019-01-11;214-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_n174fitv1547564391.pdf
10; 68-2019;2019-01-10;2019-01-11;215-2019;;00:00;;;;;0;37;0;0;30;
10; 70-2019;2019-01-08;2019-01-11;216-2018;;00:00;;;;;0;37;0;0;30;
10; 70-2019;2019-01-08;2019-01-11;216-2019;;00:00;;;;;0;37;0;0;30;
1; 10-2019;2019-01-08;2019-01-11;217-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_rwvlpvcn1547563287.pdf
1; 22-2019;2019-01-07;2019-01-11;218-2019;;00:00;;;;;0;37;0;0;30;
1; 21-2019;2019-01-08;2019-01-11;219-2019;;00:00;;;;;0;37;0;0;30;
3; 145-2019;2019-01-12;2019-01-14;221-2019;Ha lugar;16:30;2019-01-14;;;;0;28;0;1;30;file_zqd33dql1547570395.pdf
