id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;c_instancia;id_modulo
140;2843-2018;2018-10-13;2018-10-16;23965-2018-0-0906-JR-FC-14;Ha lugar;11:06;2018-10-19;;;;53;20
140;3409-2018;2018-10-13;2018-10-16;23966-2018-0-0906-JR-FC-10;Ha lugar;15:35;2018-10-26;;;;49;20
140;3365-2018;2018-10-13;2018-10-16;23967-2018-0-0906-JR-FC-16;Ha lugar;15:22;2018-10-22;;;;55;20
140;3363-2018;2018-10-13;2018-10-16;23968-2018-0-0906-JR-FC-15;Ha lugar;16:27;2018-10-22;;;;54;20
140;4066-2018;2018-10-13;2018-10-16;23969-2018-0-0906-JR-FC-13;Ha lugar;12:11;2018-11-08;;;;52;20
140;3342-2018;2018-10-13;2018-10-16;23970-2018-0-0906-JR-FC-09;Ha lugar;11:41;2018-10-17;;;;48;20
140;3343-2018;2018-10-13;2018-10-16;23971-2018-0-0906-JR-FC-10;Ha lugar;09:51;2018-10-22;;;;49;20
140;2868-2018;2018-10-13;2018-10-16;23972-2018-0-0906-JR-FC-16;Ha lugar;12:54;2018-10-26;;;;55;20
140;772-2018;2018-10-13;2018-10-16;23974-2018-0-0906-JR-FC-15;Ha lugar;18:05;2018-11-01;;;;54;20
140;2091-2018;2018-10-13;2018-10-16;23976-2018-0-0906-JR-FC-17;Ha lugar;12:05;2018-10-17;;;;56;20
140;770-2018;2018-10-13;2018-10-16;23977-2018-0-0906-JR-FC-14;Ha lugar;08:59;2018-10-19;;;;53;20
140;2881-2018;2018-10-13;2018-10-16;23983-2018-0-0906-JR-FC-13;Ha lugar;11:15;2018-10-25;;;;52;20
140;2888-2018;2018-10-13;2018-10-16;23984-2018-0-0906-JR-FC-09;Ha lugar;16:58;2018-10-27;;;;48;20
140;2889-2018;2018-10-13;2018-10-16;23986-2018-0-0906-JR-FC-14;Ha lugar;10:15;2018-10-17;;;;53;20
140;2887-2018;2018-10-13;2018-10-16;23987-2018-0-0906-JR-FC-17;Ha lugar;11:31;2018-10-17;;;2018-12-07;56;20
140;2890-2018;2018-10-13;2018-10-16;23988-2018-0-0906-JR-FC-16;Ha lugar;14:32;2018-10-23;;;;55;20
140;2885-2018;2018-10-13;2018-10-16;23990-2018-0-0906-JR-FC-10;Ha lugar;12:10;2018-11-10;;;;49;20
140;4758-2018;2018-10-13;2018-10-16;23991-2018-0-0906-JR-FC-15;Ha lugar;16:34;2018-11-02;;;;54;20
140;2883-2018;2018-10-13;2018-10-16;23992-2018-0-0906-JR-FC-13;Ha lugar;16:16;2018-11-13;;;;52;20
140;2891-2018;2018-10-13;2018-10-16;23993-2018-0-0906-JR-FC-09;Ha lugar;12:25;2018-10-16;;;;48;20
140;3383-2018;2018-10-13;2018-10-16;23994-2018-0-0906-JR-FC-10;Ha lugar;12:26;2018-10-25;;;;49;20
140;3385-2018;2018-10-13;2018-10-16;23995-2018-0-0906-JR-FC-16;Ha lugar;18:43;2018-10-22;;;;55;20
140;3371-2018;2018-10-13;2018-10-16;23996-2018-0-0906-JR-FC-15;Ha lugar;09:35;2018-10-22;;;2018-12-17;54;20
140;-;2018-10-13;2018-10-16;23997-2018-0-0906-JR-FC-10;Ha lugar;08:37;2018-10-17;;;;49;20
140;-;2018-10-13;2018-10-16;24000-2018-0-0906-JR-FC-10;Ha lugar;13:23;2018-10-16;;;;49;20
140;3413-2018;2018-10-13;2018-10-16;24001-2018-0-0906-JR-FC-17;Ha lugar;14:15;2018-10-18;;;;56;20
140;3412-2018;2018-10-13;2018-10-16;24003-2018-0-0906-JR-FC-14;Ha lugar;16:59;2018-10-17;;;;53;20
140;3391-2018;2018-10-13;2018-10-16;24004-2018-0-0906-JR-FC-13;Ha lugar;10:26;2018-11-20;;;;52;20
140;856-2018;2018-10-13;2018-10-16;24006-2018-0-0906-JR-FC-09;Ha lugar;22:25;2018-10-21;;;;48;20
140;84-2018;2018-10-13;2018-10-16;24008-2018-0-0906-JR-FC-13;Ha lugar;15:04;2018-10-16;;;;52;20
140;81-2018;2018-10-13;2018-10-16;24009-2018-0-0906-JR-FC-16;Ha lugar;15:04;2018-10-16;;;;55;20
140;80-2018;2018-10-13;2018-10-16;24010-2018-0-0906-JR-FC-15;Ha lugar;15:13;2018-10-16;;;;54;20
140;-;2018-10-13;2018-10-16;24011-2018-0-0906-JR-FC-10;Ha lugar;16:48;2018-10-19;;;;49;20
140;-;2018-10-13;2018-10-16;24012-2018-0-0906-JR-FC-10;Ha lugar;15:54;2018-10-17;;;;49;20
140;3522-2018;2018-10-13;2018-10-16;24015-2018-0-0906-JR-FC-17;Ha lugar;13:42;2018-10-17;;;;56;20
140;3527-2018;2018-10-13;2018-10-16;24016-2018-0-0906-JR-FC-14;Ha lugar;10:32;2018-10-19;;;;53;20
140;3500-2018;2018-10-13;2018-10-16;24017-2018-0-0906-JR-FC-09;Ha lugar;15:53;2018-10-16;;;;48;20
140;21706-2018;2018-10-13;2018-10-16;24018-2018-0-0906-JR-FC-14;Ha lugar;16:06;2018-10-16;;;;53;20
140;3499-2018;2018-10-13;2018-10-16;24019-2018-0-0906-JR-FC-17;Ha lugar;10:01;2018-10-18;;;2018-12-13;56;20
140;3492-2018;2018-10-13;2018-10-16;24021-2018-0-0906-JR-FC-15;Ha lugar;09:41;2018-10-22;;;;54;20
140;3336-2018;2018-10-13;2018-10-16;24022-2018-0-0906-JR-FC-13;Ha lugar;10:59;2018-11-12;;;;52;20
140;3517-2018;2018-10-13;2018-10-16;24023-2018-0-0906-JR-FC-16;Ha lugar;11:44;2018-10-27;;;;55;20
140;3321-2018;2018-10-13;2018-10-16;24024-2018-0-0906-JR-FC-14;Ha lugar;17:17;2018-10-17;;;;53;20
140;-;2018-10-13;2018-10-16;24025-2018-0-0906-JR-FC-09;Ha lugar;16:28;2018-10-16;;;;48;20
140;-;2018-10-13;2018-10-16;24026-2018-0-0906-JR-FC-16;Ha lugar;15:51;2018-10-29;;;;55;20
140;-;2018-10-13;2018-10-16;24027-2018-0-0906-JR-FC-17;Ha lugar;14:34;2018-10-19;;;;56;20
140;-;2018-10-13;2018-10-16;24030-2018-0-0906-JR-FC-13;Ha lugar;16:41;2018-10-16;;;;52;20
140;-;2018-10-13;2018-10-16;24032-2018-0-0906-JR-FC-15;Ha lugar;18:39;2018-10-30;;;;54;20
140;4101-2018;2018-10-13;2018-10-16;24033-2018-0-0906-JR-FC-14;Ha lugar;16:51;2018-10-17;;;;53;20
140;4127-2018;2018-10-14;2018-10-17;24037-2018-0-0906-JR-FC-09;Ha lugar;20:48;2018-10-23;;;;48;20
140;4128-2018;2018-10-14;2018-10-17;24038-2018-0-0906-JR-FC-17;Ha lugar;14:38;2018-10-18;;;2018-12-13;56;20
140;4140-2018;2018-10-14;2018-10-17;24044-2018-0-0906-JR-FC-13;Ha lugar;19:01;2018-10-25;;;;52;20
140;4102-2018;2018-10-14;2018-10-17;24045-2018-0-0906-JR-FC-16;Ha lugar;10:02;2018-10-21;;;;55;20
140;4106-2018;2018-10-14;2018-10-17;24046-2018-0-0906-JR-FC-15;Ha lugar;17:42;2018-11-01;;;;54;20
